C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\center_2019_07_25_09_22_18_758.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\left_2019_07_25_09_22_18_758.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\right_2019_07_25_09_22_18_758.jpg,0,0,0,24.39255
C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\center_2019_07_25_09_22_18_835.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\left_2019_07_25_09_22_18_835.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\right_2019_07_25_09_22_18_835.jpg,0,0,0,24.19654
C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\center_2019_07_25_09_22_18_915.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\left_2019_07_25_09_22_18_915.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\right_2019_07_25_09_22_18_915.jpg,0,0.1594659,0,24.04671
C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\center_2019_07_25_09_22_18_994.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\left_2019_07_25_09_22_18_994.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\right_2019_07_25_09_22_18_994.jpg,-0.2,0.2247612,0,24.10743
C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\center_2019_07_25_09_22_19_072.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\left_2019_07_25_09_22_19_072.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\right_2019_07_25_09_22_19_072.jpg,0,0,0,23.99432
C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\center_2019_07_25_09_22_19_153.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\left_2019_07_25_09_22_19_153.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\right_2019_07_25_09_22_19_153.jpg,0,0,0,23.7959
C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\center_2019_07_25_09_22_19_231.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\left_2019_07_25_09_22_19_231.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\right_2019_07_25_09_22_19_231.jpg,0,0,0,23.60337
C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\center_2019_07_25_09_22_19_311.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\left_2019_07_25_09_22_19_311.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\right_2019_07_25_09_22_19_311.jpg,0,0,0,23.41322
C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\center_2019_07_25_09_22_19_391.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\left_2019_07_25_09_22_19_391.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\right_2019_07_25_09_22_19_391.jpg,0,0,0,23.22485
C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\center_2019_07_25_09_22_19_469.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\left_2019_07_25_09_22_19_469.jpg,C:\Users\nings\Desktop\SDC_all\SDC_project\Project_4_Behaviour_Cloning\IMG\right_2019_07_25_09_22_19_469.jpg,0,0,0,23.03807
